Linux 3.10.0-514.26.2.el7.x86_64 (ip-10-0-1-10) 	01/08/17 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
10:20:01          1     18.10      0.00      8.36      0.12      0.30      0.00      0.08      0.00      0.00     73.04
10:30:01        all     11.24      0.00      7.73      0.19      0.32      0.00      0.06      0.00      0.00     80.46
10:30:01          0     11.07      0.00      7.56      0.21      0.32      0.00      0.00      0.00      0.00     80.84
10:30:01          1     11.42      0.00      7.90      0.17      0.32      0.00      0.11      0.00      0.00     80.09
10:40:01        all     32.27      0.00      8.60      0.05      0.24      0.00      0.04      0.00      0.00     58.80
10:40:01          0     31.87      0.00      8.60      0.05      0.23      0.00      0.00      0.00      0.00     59.25
10:40:01          1     32.68      0.00      8.59      0.05      0.24      0.00      0.08      0.00      0.00     58.36
10:50:02        all     56.89      0.00      9.83      0.00      0.15      0.00      0.06      0.00      0.00     33.07
10:50:02          0     56.72      0.00     10.02      0.01      0.15      0.00      0.00      0.00      0.00     33.10
10:50:02          1     57.06      0.00      9.63      0.00      0.15      0.00      0.12      0.00      0.00     33.04
11:00:01        all     44.46      0.00     10.08      0.13      0.21      0.00      0.07      0.00      0.00     45.04
11:00:01          0     44.22      0.00     10.14      0.13      0.21      0.00      0.00      0.00      0.00     45.30
11:00:01          1     44.71      0.00     10.02      0.14      0.21      0.00      0.14      0.00      0.00     44.77

11:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:10:01        all     30.17      0.00      9.40      0.21      0.25      0.00      0.03      0.00      0.00     59.93
11:10:01          0     30.12      0.00      9.38      0.13      0.25      0.00      0.00      0.00      0.00     60.12
11:10:01          1     30.23      0.00      9.42      0.30      0.26      0.00      0.06      0.00      0.00     59.75
11:20:02        all     29.08      0.00      9.31      0.24      0.26      0.00      0.05      0.00      0.00     61.07
11:20:02          0     28.93      0.00      9.18      0.26      0.26      0.00      0.00      0.00      0.00     61.38
11:20:02          1     29.22      0.00      9.44      0.23      0.26      0.00      0.09      0.00      0.00     60.76
11:30:02        all     23.05      0.00      8.64      0.18      0.28      0.00      0.03      0.00      0.00     67.82
11:30:02          0     22.86      0.00      8.51      0.13      0.28      0.00      0.00      0.00      0.00     68.22
11:30:02          1     23.25      0.00      8.76      0.23      0.28      0.00      0.06      0.00      0.00     67.41
11:40:01        all     16.92      0.00      8.51      0.13      0.30      0.00      0.03      0.00      0.00     74.11
11:40:01          0     16.83      0.00      8.43      0.14      0.29      0.00      0.00      0.00      0.00     74.31
11:40:01          1     17.01      0.00      8.60      0.10      0.30      0.00      0.06      0.00      0.00     73.92
11:50:01        all     49.40      0.00     10.26      0.08      0.18      0.00      0.04      0.00      0.00     40.05
11:50:01          0     49.37      0.00     10.29      0.11      0.18      0.00      0.00      0.00      0.00     40.05
11:50:01          1     49.42      0.00     10.23      0.05      0.18      0.00      0.07      0.00      0.00     40.05
12:00:02        all     61.51      0.00     10.58      0.04      0.15      0.00      0.04      0.00      0.00     27.67
12:00:02          0     61.25      0.00     10.74      0.04      0.15      0.00      0.00      0.00      0.00     27.82
12:00:02          1     61.78      0.00     10.43      0.04      0.15      0.00      0.08      0.00      0.00     27.52
12:10:02        all     39.23      0.00      9.52      0.15      0.23      0.00      0.05      0.00      0.00     50.82
12:10:02          0     39.02      0.00      9.61      0.14      0.23      0.00      0.00      0.00      0.00     51.01
12:10:02          1     39.45      0.00      9.43      0.15      0.23      0.00      0.11      0.00      0.00     50.63
12:20:02        all     21.42      0.00      8.46      0.14      0.29      0.00      0.04      0.00      0.00     69.64
12:20:02          0     21.35      0.00      8.36      0.11      0.29      0.00      0.00      0.00      0.00     69.89
12:20:02          1     21.49      0.00      8.56      0.17      0.30      0.00      0.08      0.00      0.00     69.40
12:30:01        all     23.21      0.00      9.01      0.07      0.28      0.00      0.03      0.00      0.00     67.40
12:30:01          0     23.28      0.00      8.94      0.08      0.27      0.00      0.00      0.00      0.00     67.43
12:30:01          1     23.14      0.00      9.09      0.07      0.28      0.00      0.06      0.00      0.00     67.36
12:40:02        all     37.02      0.00     10.81      0.27      0.23      0.00      0.10      0.00      0.00     51.58
12:40:02          0     36.75      0.00     10.73      0.31      0.23      0.00      0.01      0.00      0.00     51.97
12:40:02          1     37.29      0.00     10.89      0.22      0.24      0.00      0.18      0.00      0.00     51.18
12:50:01        all     14.12      0.00      8.22      0.05      0.31      0.00      0.05      0.00      0.00     77.25
12:50:01          0     14.09      0.00      8.11      0.06      0.31      0.00      0.00      0.00      0.00     77.44
12:50:01          1     14.16      0.00      8.33      0.04      0.31      0.00      0.09      0.00      0.00     77.06

12:50:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
13:00:02        all     40.73      0.00     10.13      0.22      0.23      0.00      0.06      0.00      0.00     48.63
13:00:02          0     40.57      0.00     10.01      0.24      0.23      0.00      0.00      0.00      0.00     48.96
13:00:02          1     40.90      0.00     10.25      0.20      0.23      0.00      0.11      0.00      0.00     48.30
13:10:02        all     19.00      0.00      8.47      0.18      0.30      0.00      0.04      0.00      0.00     72.00
13:10:02          0     18.86      0.00      8.34      0.25      0.30      0.00      0.00      0.00      0.00     72.24
13:10:02          1     19.13      0.00      8.61      0.11      0.30      0.00      0.09      0.00      0.00     71.76
13:20:02        all     16.17      0.00      7.91      0.17      0.30      0.00      0.04      0.00      0.00     75.41
13:20:02          0     16.19      0.00      7.86      0.16      0.30      0.00      0.00      0.00      0.00     75.49
13:20:02          1     16.14      0.00      7.97      0.19      0.31      0.00      0.08      0.00      0.00     75.32
13:30:01        all     35.10      0.00      9.01      0.10      0.23      0.00      0.04      0.00      0.00     55.52
13:30:01          0     34.80      0.00      9.05      0.08      0.22      0.00      0.00      0.00      0.00     55.84
13:30:01          1     35.40      0.00      8.97      0.13      0.23      0.00      0.07      0.00      0.00     55.21
Average:        all     15.70      0.00      8.22      0.05      0.31      0.00      0.04      0.00      0.00     75.69
Average:          0     15.58      0.00      8.11      0.05      0.30      0.00      0.00      0.00      0.00     75.96
Average:          1     15.83      0.00      8.33      0.05      0.31      0.00      0.07      0.00      0.00     75.42

00:00:01       proc/s   cswch/s
00:10:01         2.40  24923.65
00:20:01         2.29  24784.99
00:30:01         2.34  24693.48
00:40:01         2.37  24642.41
00:50:01         2.30  24662.66
01:00:01         2.34  24660.13
01:10:01         2.40  24615.19
01:20:01         2.33  24529.99
01:30:01         2.37  24538.14
01:40:01         2.30  24622.32
01:50:01         2.34  24676.66
02:00:01         2.37  24557.44
02:10:01         2.36  24534.22
02:20:01         2.30  24651.51
02:30:01         2.37  24688.01
02:40:01         2.38  24690.40
02:50:01         2.30  24695.68
03:00:02         2.41  24692.72
03:10:01         2.42  24649.21
03:20:01         2.35  24711.02
03:30:01         2.40  24845.23
03:40:01         2.31  24686.05
03:50:01         2.37  24669.90
04:00:01         2.34  24612.60
04:10:01         2.33  24656.76
04:20:01         2.41  24670.28
04:30:01         2.29  24698.41
04:40:01         2.30  24603.40
04:50:01         2.40  24562.88
05:00:01         2.30  24633.20
